,dt,AverageTemperature,AverageTemperatureUncertainty,Country,Year
111,1999-04-01,15.239,0.57,Afghanistan,1999
112,1999-05-01,21.186,0.468,Afghanistan,1999
113,1999-06-01,25.896,0.636,Afghanistan,1999
114,1999-07-01,27.38000000000001,0.347,Afghanistan,1999
115,1999-08-01,26.625,0.481,Afghanistan,1999
116,1999-09-01,21.901,0.358,Afghanistan,1999
117,1999-10-01,15.936,0.306,Afghanistan,1999
118,1999-11-01,8.932,0.337,Afghanistan,1999
119,1999-12-01,4.271,0.5539999999999999,Afghanistan,1999
120,2000-01-01,2.404,0.496,Afghanistan,2000
121,2000-02-01,3.155,0.529,Afghanistan,2000
122,2000-03-01,8.971,0.333,Afghanistan,2000
123,2000-04-01,18.44,0.522,Afghanistan,2000
124,2000-05-01,24.14,0.435,Afghanistan,2000
125,2000-06-01,25.451,0.487,Afghanistan,2000
126,2000-07-01,27.26,0.507,Afghanistan,2000
127,2000-08-01,26.416,0.377,Afghanistan,2000
128,2000-09-01,22.118,0.695,Afghanistan,2000
129,2000-10-01,15.272,0.44,Afghanistan,2000
130,2000-11-01,7.952000000000001,0.638,Afghanistan,2000
131,2000-12-01,4.3950000000000005,0.5489999999999999,Afghanistan,2000
132,2001-01-01,0.41,0.547,Afghanistan,2001
133,2001-02-01,4.210999999999999,0.434,Afghanistan,2001
134,2001-03-01,10.507,0.374,Afghanistan,2001
135,2001-04-01,17.23,0.5720000000000001,Afghanistan,2001
136,2001-05-01,24.108,0.789,Afghanistan,2001
137,2001-06-01,26.953000000000003,0.61,Afghanistan,2001
138,2001-07-01,27.772,0.501,Afghanistan,2001
139,2001-08-01,26.059,0.49,Afghanistan,2001
140,2001-09-01,21.241,0.443,Afghanistan,2001
141,2001-10-01,15.494000000000002,0.594,Afghanistan,2001
142,2001-11-01,9.815,0.496,Afghanistan,2001
143,2001-12-01,5.537000000000001,0.619,Afghanistan,2001
144,2002-01-01,2.42,0.609,Afghanistan,2002
145,2002-02-01,4.582,0.439,Afghanistan,2002
146,2002-03-01,11.085,0.479,Afghanistan,2002
147,2002-04-01,15.997,0.403,Afghanistan,2002
148,2002-05-01,21.918000000000003,0.315,Afghanistan,2002
149,2002-06-01,26.476,0.352,Afghanistan,2002
150,2002-07-01,27.41200000000001,0.369,Afghanistan,2002
151,2002-08-01,27.011000000000006,0.409,Afghanistan,2002
152,2002-09-01,21.055,0.27,Afghanistan,2002
153,2002-10-01,16.997,0.378,Afghanistan,2002
154,2002-11-01,9.369,0.185,Afghanistan,2002
155,2002-12-01,2.1300000000000003,1.134,Afghanistan,2002
156,2003-01-01,3.133,0.369,Afghanistan,2003
157,2003-02-01,4.854,0.6859999999999999,Afghanistan,2003
158,2003-03-01,9.036,0.357,Afghanistan,2003
159,2003-04-01,15.236999999999998,0.38,Afghanistan,2003
160,2003-05-01,19.064,0.383,Afghanistan,2003
161,2003-06-01,25.347,0.657,Afghanistan,2003
162,2003-07-01,27.94,0.423,Afghanistan,2003
163,2003-08-01,26.19,0.371,Afghanistan,2003
164,2003-09-01,21.399,0.459,Afghanistan,2003
165,2003-10-01,15.723,0.539,Afghanistan,2003
166,2003-11-01,7.776,0.365,Afghanistan,2003
167,2003-12-01,3.293,0.491,Afghanistan,2003
168,2004-01-01,3.756,0.363,Afghanistan,2004
169,2004-02-01,6.5600000000000005,0.4970000000000001,Afghanistan,2004
